Length [m],0 s,60 s,300 s,600 s,
0,310.15,301.35,291.6,286.9,
4.06E-04,310.15,303.39,293.07,288.05,
8.13E-04,310.15,304.45,293.9,288.7,
1.22E-03,310.15,305.17,294.52,289.2,
1.63E-03,310.15,305.8,295.1,289.68,
2.03E-03,310.15,306.32,295.64,290.14,
2.44E-03,310.15,306.73,296.15,290.59,
2.84E-03,310.15,307.18,297.09,291.47,
3.25E-03,310.15,307.62,298.07,292.41,
3.66E-03,310.15,308.02,299.01,293.32,
4.06E-03,310.15,308.4,299.91,294.2,
4.47E-03,310.15,308.75,300.76,295.06,
4.88E-03,310.15,309.06,301.58,295.88,
5.28E-03,310.15,309.34,302.35,296.68,
5.69E-03,310.15,309.59,303.08,297.46,
6.09E-03,310.15,309.82,303.76,298.2,
6.50E-03,310.15,310.01,304.4,298.92,
6.91E-03,310.15,310.16,305,299.61,
7.31E-03,310.15,310.29,305.56,300.27,
7.72E-03,310.15,310.39,306.08,300.91,
8.13E-03,310.15,310.46,306.55,301.52,
8.53E-03,310.15,310.49,306.98,302.1,
8.94E-03,310.15,310.5,307.37,302.65,
9.34E-03,310.15,310.47,307.71,303.18,
9.75E-03,310.15,310.41,308.02,303.67,
1.02E-02,310.15,310.32,308.28,304.15,
1.06E-02,310.15,310.2,308.49,304.59,
1.10E-02,310.15,310.05,308.67,305,
1.14E-02,310.15,310.06,308.83,305.38,
1.18E-02,310.15,310.08,308.98,305.73,
1.22E-02,310.15,310.09,309.13,306.08,
1.26E-02,310.15,310.11,309.26,306.41,
1.30E-02,310.15,310.12,309.39,306.73,
1.34E-02,310.15,310.13,309.5,307.03,
1.38E-02,310.15,310.15,309.61,307.33,
1.42E-02,310.15,310.15,309.71,307.61,
1.46E-02,310.15,310.16,309.8,307.88,
1.50E-02,310.15,310.17,309.88,308.14,
1.54E-02,310.15,310.17,309.95,308.38,
1.58E-02,310.15,310.18,310.01,308.62,
1.63E-02,310.15,310.18,310.06,308.84,
1.67E-02,310.15,310.18,310.1,309.04,
1.71E-02,310.15,310.18,310.14,309.24,
1.75E-02,310.15,310.18,310.16,309.42,
1.79E-02,310.15,310.18,310.18,309.59,
1.83E-02,310.15,310.17,310.18,309.75,
1.87E-02,310.15,310.17,310.18,309.9,
1.91E-02,310.15,310.16,310.17,310.03,
1.95E-02,310.15,310.15,310.15,310.15,
