Length [m],0 s,60 s,300 s,600 s
0,310.15,306.02,300,296.09
4.06E-04,310.15,307.01,300.9,296.89
8.13E-04,310.15,307.52,301.4,297.34
1.22E-03,310.15,307.87,301.77,297.68
1.63E-03,310.15,308.17,302.11,298
2.03E-03,310.15,308.42,302.43,298.31
2.44E-03,310.15,308.61,302.72,298.6
2.84E-03,310.15,308.82,303.24,299.17
3.25E-03,310.15,309.02,303.79,299.77
3.66E-03,310.15,309.21,304.31,300.35
4.06E-03,310.15,309.38,304.81,300.91
4.47E-03,310.15,309.54,305.29,301.45
4.88E-03,310.15,309.68,305.73,301.97
5.28E-03,310.15,309.81,306.16,302.47
5.69E-03,310.15,309.92,306.56,302.95
6.09E-03,310.15,310.02,306.93,303.41
6.50E-03,310.15,310.11,307.28,303.86
6.91E-03,310.15,310.18,307.61,304.28
7.31E-03,310.15,310.24,307.91,304.69
7.72E-03,310.15,310.28,308.18,305.07
8.13E-03,310.15,310.31,308.44,305.44
8.53E-03,310.15,310.33,308.66,305.78
8.94E-03,310.15,310.33,308.86,306.11
9.34E-03,310.15,310.32,309.04,306.41
9.75E-03,310.15,310.29,309.19,306.7
1.02E-02,310.15,310.25,309.32,306.97
1.06E-02,310.15,310.19,309.42,307.22
1.10E-02,310.15,310.12,309.5,307.45
1.14E-02,310.15,310.13,309.58,307.65
1.18E-02,310.15,310.14,309.66,307.85
1.22E-02,310.15,310.14,309.73,308.04
1.26E-02,310.15,310.15,309.79,308.23
1.30E-02,310.15,310.16,309.85,308.4
1.34E-02,310.15,310.16,309.91,308.57
1.38E-02,310.15,310.17,309.96,308.73
1.42E-02,310.15,310.17,310.01,308.88
1.46E-02,310.15,310.18,310.05,309.03
1.50E-02,310.15,310.18,310.08,309.16
1.54E-02,310.15,310.18,310.11,309.29
1.58E-02,310.15,310.18,310.14,309.41
1.63E-02,310.15,310.18,310.16,309.53
1.67E-02,310.15,310.18,310.18,309.63
1.71E-02,310.15,310.18,310.19,309.73
1.75E-02,310.15,310.18,310.19,309.82
1.79E-02,310.15,310.17,310.19,309.9
1.83E-02,310.15,310.17,310.19,309.97
1.87E-02,310.15,310.16,310.18,310.04
1.91E-02,310.15,310.16,310.17,310.1
1.95E-02,310.15,310.15,310.15,310.15
